path,description
/ME/ME0116/C6EUvalNomParti,"""Democracy"", ""European Parliament elections, nominated and elected candidates"", ""Nominated, elected and not elected candidates in the elections to the European Parliament by sex and party. In numbers and percent. Election year 1995 - 2019"""
/MI/MI0106/MI0106T02,"""Environment"", ""Discharges to water and sewage sludge production"", ""Discharges from industrial waste water treatment plants by major drainage areas and substance. Every second year 2014 - 2020"""
/MI/MI0106/MI0106T03,"""Environment"", ""Discharges to water and sewage sludge production"", ""Production and use of sewage sludge form municipal waste water treatment plants by county and use category. Every other year 2014 - 2020"""
/MI/MI0106/MI0106T04,"""Environment"", ""Discharges to water and sewage sludge production"", ""Wastewater treatment plants by region, size and treatment methods. Every other year 2014 - 2020"""
/MI/MI0106/MI0106T05,"""Environment"", ""Discharges to water and sewage sludge production"", ""Concentrations of nutrients, metals and organic indicator substances in sludge from municipal wastewater treatment plants. Every other year 2014 - 2020"""
/MI/MI0106/MI0106T06,"""Environment"", ""Discharges to water and sewage sludge production"", ""Discharges from industry by industry group and substance. Every other year 2014 - 2020"""
/MI/MI0106/MI0106T07,"""Environment"", ""Discharges to water and sewage sludge production"", ""Municipal wastewater treatment plants: Incoming and outgoing amounts and treatment efficiency. Every other year 2014 - 2020"""
/MI/MI0106/MI0106T08,"""Environment"", ""Discharges to water and sewage sludge production"", ""Concentration averages (yearly averages) in outgoing wastewater by treatment method/size, substance and interval. Every other year 2014 - 2020"""
/MI/MI0106/MI0106T09,"""Environment"", ""Discharges to water and sewage sludge production"", ""Dry substance percentages in sludge in different quality classes by size, substance and limit value. Every other year 2014 - 2020"""
/MI/MI0106/MI0106T10,"""Environment"", ""Discharges to water and sewage sludge production"", ""Ratio of sludge dry substance below the limit values by size. Every other year 2014 - 2020"""
/MI/MI0106/MI0106T11,"""Environment"", ""Discharges to water and sewage sludge production"", ""Concentration averages of metals in water from municipal wastewater treatment plants by size and substance. Every other year 2014 - 2020"""
